V1	V2
PYCARD	SQSTM1
DNAJC1	LMNA
NEK9	HUWE1
MYL1	FN1
GC	GRB2
GC	C3
HIBADH	ELAVL1
CTSB	S100A10
CTSB	MARCKS
HNRNPAB	AHNAK
HNRNPAB	PTBP1
AGPAT5	ELAVL1
CLPTM1	TM9SF3
MAN2B1	AGL
MAN2B1	CHID1
CMAS	COG3
COG3	COG1
SLC25A4	NDUFA4
SLC25A4	FAF2
SLC25A4	GRB2
SDHAF2	PCMT1
CD63	SDCBP
TM7SF3	ELAVL1
BTF3L4	ELAVL1
AMDHD1	GDA
AMDHD1	EIF1AX
MINOS1	MIA3
MINOS1	IBA57
EIF4G2	FN1
EIF4G2	EIF5
EIF4G2	HSPB1
EXOC5	ENO2
EXOC5	EIF4G2
COQ8A	CDC37
MCU	ELAVL1
MCU	MCU
MCU	NDUFA4
MRPL38	OGDH
MRPL38	SQSTM1
MRPL38	ILF3
DYNLRB1	DYNC1LI2
DYNLRB1	DYNLT1
DYNLRB1	DYNC1I2
MAPRE3	MAPRE2
MAPRE3	SDCBP
MAPRE3	CKAP5
HDLBP	HSPB1
HDLBP	S100A10
PSPH	PHGDH
PRPSAP2	IQGAP1
PRPSAP2	PRPSAP1
NECTIN2	AFDN
HP1BP3	TMPO
HP1BP3	LMNA
PBXIP1	PIK3R1
PBXIP1	GRB2
HMGB1	HUWE1
ATXN2L	SMAD3
DDX21	MACROD1
DDX21	HUWE1
PDZK1	ABCC2
CS	ALDOA
CS	SDHB
FNDC3A	ELAVL1
ADI1	ALDOA
ADI1	DBT
ADI1	NIT1
ADI1	MRI1
ADI1	ALDH5A1
ARFIP2	RAC1
HRG	FGG
IGF2R	ELAVL1
IGF2R	FN1
IGF2R	IGF2R
BROX	CHMP4A
PES1	DKC1
PES1	RPL38
PES1	MYH9
PES1	BUB3
PES1	NAP1L1
PES1	WDR12
ARPC5	ARPC5
ARPC5	ELAVL1
ARPC5	ARPC1B
STX5	NSFL1C
STX5	NAPA
PDLIM1	VIM
PDLIM1	ACTN1
PDLIM1	HSPB1
PDLIM1	NUDT12
PDLIM1	LIMA1
TSFM	YWHAZ
CSDE1	ATP6V1B2
CSDE1	HUWE1
CSDE1	ELAVL1
CSDE1	PAIP1
CSDE1	CSDE1
CSDE1	PIK3R1
BET1	NAPA
BET1	STX5
MEMO1	AKR1B1
MEMO1	CFL2
DSG2	MYH9
DSG2	NCSTN
DSG2	DSC1
DDX56	DKC1
PVR	CDH1
PVR	VTN
SEC14L4	ELAVL1
SLIRP	EIF4G2
SLIRP	RPL38
SLIRP	ELAVL1
APOA1	PON1
APOA1	APOD
APOA1	CP
APOA1	FN1
HAX1	APOD
HAX1	STAT5B
HAX1	DPYSL2
HAX1	LASP1
HAX1	ABCB4
FGB	FN1
FGB	FGG
AGL	PUS1
AGL	SDHB
AGL	KHK
AGL	SMAD3
HIBCH	GRB2
HIBCH	PRCP
ACOT9	MINOS1
ACOT9	HIBCH
AIMP2	SDCBP
ITGAV	FN1
ITGAV	PLA2G2A
SCLY	IDE
SCLY	EIF5
NTPCR	RUVBL2
NTPCR	RUVBL1
SMC3	PDS5A
SMC3	FNDC3A
SMC3	MAPRE2
API5	ELAVL1
EPHX2	MVP
KHDRBS1	RBMX
KHDRBS1	BAIAP2L1
KHDRBS1	PPP1CB
KHDRBS1	PIK3R1
KHDRBS1	SFPQ
KHDRBS1	GRB2
KHDRBS1	ATXN2L
KHDRBS1	CRK
GSTM3	GRB2
VTA1	ME1
XPNPEP1	MTHFD1
XPNPEP1	MTHFD1L
XPNPEP1	HMGCS1
XPNPEP1	PDE12
XPNPEP1	DMGDH
XPNPEP1	VTA1
PLD1	CAV1
PLD1	RPS6KA3
TOM1	ME1
CDK5	H1F0
CDK5	ACTN1
CDK5	CDC37
DPYSL2	PPP1CC
PON2	B4GALT1
PON2	GRB2
PON2	RUVBL2
PON2	STOM
PON2	ENPP1
S100A6	CACYBP
KIF20B	KIF20B
KIF20B	ELAVL1
KIF20B	RUVBL1
RPL38	RUVBL2
RPL38	RPL30
HNRNPUL1	HNRNPUL1
HNRNPUL1	ELAVL1
HNRNPUL1	PDCD6
SERPINE1	VTN
SERPINE1	SERPINE1
IDE	CARS
IDE	PUS1
FGG	FGG
FGG	FN1
FGG	VTN
CNN1	TPM1
S100A11	ANXA1
LTA4H	UBA5
LTA4H	LTA4H
NIT1	IBA57
GATD3A	GLS
GATD3A	NIT1
BUB3	BUB3
BUB3	SMAD3
BUB3	FN1
BUB3	HUWE1
ARL6IP1	ELAVL1
ARL6IP1	SDCBP
ARL6IP1	ARL6IP1
LAPTM4A	TFRC
LAPTM4A	LAPTM4A
NUP155	LMNA
PDS5A	DDX21
MRPS23	MRPS35
MRPS23	FN1
MRPS23	HSPB1
WDR3	PUS1
MARCKS	DBN1
MARCKS	ELAVL1
PCMT1	AIMP2
FTL	PPP1CC
FTL	SDCBP
CHDH	SQSTM1
ASS1	PHGDH
ASS1	TAGLN2
ASS1	RUVBL2
ASS1	ALDOA
ASS1	PTPN1
ZYX	FAM129B
ZYX	TRIP6
CPD	ELAVL1
RAB10	ELAVL1
RAB10	RAB10
RAB10	TAGLN2
RAB10	OPTN
DFFA	EIF5
RCN1	MYO18A
RCN1	SRXN1
RCN1	ENO2
RCN1	CHMP4A
GLO1	AGL
GLO1	AKR1B1
GLO1	HSPB1
EIF1AX	ELAVL1
EIF1AX	EIF1AX
EIF1AX	EIF5
CAPN1	PTPN1
CAPN1	ATP6V1A
CAV1	CDH1
CAV1	SQSTM1
CRK	HUWE1
GLS	GDA
TAX1BP3	GLS
SNAP29	STX5
CYP51A1	ELAVL1
ITGA6	CD151
ITGA6	CD63
ITGA6	ANPEP
ITGA6	GRB2
MYO1B	DBN1
MYO1B	ECPAS
MYO1B	MYO18A
MYO1B	PPP1CB
MYO1B	GRB2
MYO1B	PPP1CC
MYO1B	MYH9
MYO1B	IQGAP1
MYO1B	FLNA
MYO1B	LIMA1
CFB	FN1
CFB	C3
ACACB	ELAVL1
ARHGEF2	RAC1
ARHGEF2	ELAVL1
ARHGEF2	YWHAZ
ARHGEF2	RRAS2
MVP	TRIP6
MVP	GOLGA2
MVP	PTPN1
STAT5B	PDHB
STAT5B	ALAD
STAT5B	AARS
STAT5B	PTPN1
STAT5B	DLD
STAT5B	RPRD1B
STAT5B	CRK
STAT5B	MVP
DDAH1	ELAVL1
RDX	TAGLN2
RDX	ELAVL1
RDX	NSUN2
RDX	ABCC2
LYN	IKBKG
LYN	ACSL3
LYN	ELAVL1
LYN	LIMA1
LYN	LAMP2
LYN	TRIM28
LYN	MYH9
LYN	DDX21
LYN	KHDRBS1
LYN	RDX
LAMP2	HSPA8
LAMP2	APEH
LAMP2	ELAVL1
LAMP2	NCSTN
LAMP2	RBBP4
RBMX	FN1
RBMX	HNRNPUL1
